season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2020,4566196,Will Rogers,QB,Mississippi State,SEC,374,0.131,0.105,1.074,-0.169,0.323,0.296,0.01,0.376,49.092,38.354,10.739,-25.652,43.612,23.083,2.41,46.683
2020,4243539,Noah Vedral,QB,Rutgers,Big Ten,281,0.131,0.088,0.323,0.008,0.1,0.268,0.097,0.171,36.703,20.25,16.453,0.835,9.012,22.509,14.955,21.748
2020,3858269,Ross Bowers,QB,Northern Illinois,Mid-American,231,0.135,0.148,-0.205,0.003,0.217,0.254,0.104,0.176,31.122,32.966,-1.844,0.226,15.59,15.482,13.866,17.256
2020,4365325,Colby Suits,QB,Louisiana Monroe,Sun Belt,279,0.136,0.135,0.144,-0.029,0.063,0.256,0.085,0.193,37.948,34.925,3.022,-2.944,5.567,18.908,12.522,25.426
2020,4241222,Charlie Brewer,QB,Baylor,Big 12,426,0.141,0.121,0.229,-0.081,-0.006,0.421,0.07,0.235,60.113,41.782,18.331,-12.407,-0.832,50.463,16.839,43.275
2020,4043980,Luke Anthony,QB,Louisiana Tech,Conference USA,268,0.15,0.105,0.557,0.025,0.068,0.412,0.006,0.413,40.306,25.274,15.031,2.739,6.131,25.954,1.075,39.231
2020,4360131,Holton Ahlers,QB,East Carolina,American Athletic,289,0.158,0.154,0.198,0.199,0.083,0.261,0.192,0.106,45.73,39.987,5.743,23.1,6.769,21.642,33.49,12.239
2020,4259269,Chris Reynolds,QB,Charlotte,Conference USA,226,0.167,0.215,-0.096,0.168,0.083,0.321,0.149,0.197,37.764,41.13,-3.366,15.152,5.216,21.53,20.799,16.965
2020,4426335,Graham Mertz,QB,Wisconsin,Big Ten,228,0.169,0.133,0.478,-0.111,0.34,0.412,0.1,0.252,38.61,27.133,11.477,-7.578,28.573,27.636,12.359,26.251
2020,4035409,Zach Smith,QB,Tulsa,American Athletic,296,0.174,0.193,-0.118,-0.014,0.26,0.307,0.084,0.286,51.474,53.606,-2.132,-1.441,23.922,28.861,13.751,37.723
2020,4360890,Jordan McCloud,QB,South Florida,American Athletic,209,0.186,0.143,0.419,0.025,0.371,0.298,0.107,0.285,38.926,25.088,13.838,2.107,25.959,14.621,12.427,26.499
2020,4429955,Will Howard,QB,Kansas State,Big 12,244,0.191,0.207,0.152,0.129,-0.017,0.51,0.185,0.2,46.669,35.859,10.811,10.194,-1.338,41.337,26.265,20.404
2020,4035856,Max Gilliam,QB,UNLV,Mountain West,212,0.202,0.078,0.737,0.167,-0.086,0.399,0.18,0.229,42.848,13.369,29.479,12.717,-5.584,24.312,20.873,21.975
2020,4373851,Desmond Trotter,QB,South Alabama,Sun Belt,329,0.205,0.195,0.254,-0.088,0.171,0.678,0.065,0.365,67.359,53.629,13.73,-9.546,17.301,64.405,11.466,55.893
2020,4427105,Max Duggan,QB,TCU,Big 12,351,0.214,0.149,0.396,0.029,0.163,0.427,0.169,0.282,75.203,38.369,36.834,3.784,18.86,41.444,35.708,39.495
2020,4259219,Henry Colombi,QB,Texas Tech,Big 12,214,0.214,0.164,0.457,0.121,0.223,0.257,0.177,0.279,45.722,29.263,16.459,10.738,14.702,12.348,24.266,21.456
2020,4568411,Cornelious Brown,QB,Georgia State,Sun Belt,400,0.216,0.236,0.146,-0.065,0.215,0.523,0.065,0.419,86.562,73.872,12.69,-8.38,31.779,61.142,14.899,71.663
2020,4362159,Alan Bowman,QB,Texas Tech,Big 12,237,0.216,0.228,-0.062,0.044,0.561,0.178,0.093,0.429,51.167,51.787,-0.62,4.631,43.766,8.896,13.885,37.281
2020,4685039,Michael Pratt,QB,Tulane,American Athletic,369,0.217,0.158,0.421,0.068,0.412,0.175,0.184,0.27,80.256,44.889,35.367,10.241,48.971,15.44,41.115,39.141
2020,4360480,Spencer Petras,QB,Iowa,Big Ten,276,0.218,0.184,0.59,0.19,0.139,0.279,0.167,0.289,60.051,46.492,13.559,18.666,12.924,21.728,27.075,32.977
2020,4429066,Jeff Sims,QB,Georgia Tech,ACC,373,0.22,0.132,0.467,0.001,0.335,0.462,0.127,0.358,82.015,36.266,45.749,0.122,37.206,44.797,28.335,53.68
2020,4430686,Grant Wells,QB,Marshall,Conference USA,324,0.225,0.197,0.393,0.221,0.25,0.485,0.226,0.222,72.814,54.721,18.093,28.241,28.201,33.947,45.686,27.129
2020,4361825,Spencer Sanders,QB,Oklahoma State,Big 12,341,0.235,0.312,-0.016,0.072,0.263,0.53,0.17,0.331,80.274,81.524,-1.25,9.521,30.514,45.545,34.246,46.028
2020,4374350,Asher O'Hara,QB,Middle Tennessee,Conference USA,461,0.238,0.243,0.228,0.073,0.203,0.617,0.121,0.418,109.613,74.978,34.635,12.744,33.77,67.846,33.62,75.993
2020,4244029,Jarret Doege,QB,West Virginia,Big 12,408,0.239,0.221,0.578,-0.133,0.415,0.661,0.023,0.536,97.476,85.344,12.132,-21.302,56.414,65.401,5.35,92.126
2020,4040880,Sam Noyer,QB,Colorado,Pac-12,206,0.243,0.18,0.489,-0.114,0.091,0.756,0.117,0.367,50.08,29.522,20.558,-6.608,7.059,49.12,11.934,38.146
2020,4360175,Clayton Tune,QB,Houston,American Athletic,313,0.243,0.167,0.665,0.178,0.22,0.367,0.003,0.573,76.081,44.166,31.915,20.627,22.931,29.323,0.488,75.592
2020,4567218,Bo Nix,QB,Auburn,SEC,464,0.245,0.196,0.455,0.155,0.185,0.501,0.174,0.353,113.834,73.767,40.067,27.055,27.778,66.195,48.491,65.343
2020,4035167,Jarrett Guarantano,QB,Tennessee,SEC,204,0.254,0.16,0.867,0.361,-0.037,0.232,0.283,0.205,51.726,28.325,23.401,23.796,-2.416,14.636,35.718,16.008
2020,4362723,Gunnar Watson,QB,Troy,Sun Belt,330,0.264,0.281,0,0.016,0.204,0.622,0.095,0.516,87.02,87.019,0.001,1.981,24.031,53.476,18.871,68.149
2020,4575668,Gavin Hardison,QB,UTEP,Conference USA,223,0.264,0.332,-0.422,-0.049,0.185,0.85,-0.079,0.605,58.967,67.414,-8.447,-3.727,14.056,53.576,-8.75,67.716
2020,4370775,Brennan Armstrong,QB,Virginia,ACC,393,0.274,0.227,0.398,0.174,0.194,0.639,0.177,0.479,107.85,64.812,43.038,31.465,23.271,51.766,47.014,60.836
2020,4240703,Kenny Pickett,QB,Pittsburgh,ACC,412,0.279,0.294,0.202,0.123,0.258,0.451,0.188,0.418,114.839,100.681,14.157,19.483,32.459,52.265,46.747,68.092
2020,4360799,Jordan Travis,QB,Florida State,ACC,229,0.28,0.148,0.505,0.169,0.133,0.609,0.144,0.516,64.218,21.303,42.914,15.371,10.105,33.514,20.875,43.342
2020,4360423,Michael Penix Jr.,QB,Indiana,Big Ten,234,0.285,0.26,0.795,0.125,0.33,0.571,0.178,0.396,66.752,58.008,8.744,10.614,27.08,35.383,21.16,45.591
2020,4045290,Peyton Ramsey,QB,Northwestern,Big Ten,362,0.289,0.316,0.18,0.121,0.146,0.538,0.162,0.456,104.632,91.702,12.93,15.424,16.549,56.513,33.449,71.182
2020,4245186,Frank Harris,QB,UT San Antonio,Conference USA,301,0.29,0.187,0.629,0.229,0.208,0.539,0.266,0.326,87.316,43.28,44.036,24.513,21.676,45.776,48.175,39.14
2020,4685740,Max Johnson,QB,LSU,SEC,203,0.292,0.296,0.28,0.228,0.353,0.247,0.284,0.307,59.335,46.737,12.598,19.187,20.479,13.319,36.582,22.753
2020,4240025,Bailey Hockman,QB,NC State,ACC,320,0.296,0.306,0.213,0.054,0.277,0.621,0.163,0.467,94.675,86.998,7.677,6.922,28.267,53.385,29.324,65.351
2020,4373934,Chevan Cordeiro,QB,Hawai'i,Mountain West,426,0.299,0.205,0.657,0.012,0.363,0.465,0.16,0.485,127.167,69.377,57.79,2.002,49.714,53.884,38.958,88.209
2020,4036429,Zac Thomas,QB,Appalachian State,Sun Belt,378,0.309,0.272,0.468,0.099,0.163,0.785,0.214,0.434,116.788,83.569,33.219,14.514,18.948,81.641,45.995,70.793
2020,4426444,Connor Bazelak,QB,Missouri,SEC,357,0.31,0.345,-0.026,0.1,0.341,0.535,0.208,0.465,110.557,111.434,-0.877,13.895,38.505,49.204,44.947,65.61
2020,4240756,Tanner Morgan,QB,Minnesota,Big Ten,204,0.311,0.315,0.253,-0.065,0.478,0.612,-0.074,0.727,63.381,60.091,3.29,-4.238,39.175,31.842,-7.864,71.245
2020,4259592,Sean Clifford,QB,Penn State,Big Ten,348,0.314,0.33,0.255,0.181,0.305,0.584,0.187,0.498,109.152,89.788,19.364,25.88,36.916,43.786,38.467,70.685
2020,4243322,Jake Haener,QB,Fresno State,Mountain West,285,0.315,0.3,0.432,-0.007,0.468,0.629,0.051,0.73,89.917,75.214,14.702,-0.776,43.976,40.857,8.889,81.028
2020,4240858,Hendon Hooker,QB,Virginia Tech,ACC,269,0.316,0.336,0.285,0.425,0.377,0.027,0.402,0.143,85.129,55.155,29.974,48.86,32.448,1.641,72.436,12.693
2020,4034948,Feleipe Franks,QB,Arkansas,SEC,339,0.316,0.398,0.036,0.312,0.168,0.443,0.33,0.289,107.135,104.395,2.74,44.236,16.838,40.714,73.031,34.104
2020,4241820,Sam Ehlinger,QB,Texas,Big 12,434,0.324,0.321,0.335,0.124,0.39,0.503,0.206,0.525,140.444,109.319,31.125,21.353,55.028,57.806,56.481,83.963
2020,4036473,Logan Bonner,QB,Arkansas State,Sun Belt,294,0.332,0.355,0.021,0.12,0.324,0.597,0.184,0.55,97.575,97.147,0.428,14.146,30.438,44.206,32.14,65.435
2020,4361994,Sam Hartman,QB,Wake Forest,ACC,335,0.337,0.39,-0.04,0.082,0.229,0.704,0.153,0.541,112.971,114.597,-1.626,10.125,22.463,70.43,26.914,86.057
2020,4372768,Phil Jurkovec,QB,Boston College,ACC,375,0.339,0.322,0.451,0.069,0.393,0.66,0.263,0.44,127.068,104.968,22.1,9.916,51.824,60.755,56.245,70.823
2020,4039210,Drew Plitt,QB,Ball State,Mid-American,283,0.347,0.334,0.411,0.052,0.274,0.78,0.154,0.668,98.118,79.223,18.894,4.916,27.393,60.82,27.305,70.813
2020,4361435,Carson Strong,QB,Nevada,Mountain West,382,0.348,0.371,-0.22,0.244,0.19,0.772,0.229,0.536,132.883,136.18,-3.298,37.095,26.849,62.5,53.489,79.394
2020,4428512,Kedon Slovis,QB,USC,Pac-12,284,0.351,0.37,-0.115,0.141,0.256,0.549,0.253,0.506,99.677,100.938,-1.261,17.46,21.541,37.85,44.061,55.616
2020,4240904,Kellen Mond,QB,Texas A&M,SEC,392,0.355,0.384,0.217,0.26,0.305,0.706,0.314,0.411,139.302,124.526,14.776,39.218,39.91,74.096,70.659,68.643
2020,4244804,Preston Hutchinson,QB,Eastern Michigan,Mid-American,284,0.357,0.353,0.369,0.142,0.304,0.594,0.248,0.546,101.358,75.188,26.17,15.188,29.498,41.004,44.589,56.768
2020,4361182,Adrian Martinez,QB,Nebraska,Big Ten,239,0.358,0.197,0.695,0.199,0.334,0.624,0.356,0.36,85.481,31.96,53.521,17.509,30.392,34.964,55.604,29.877
2020,4360163,Austin Aune,QB,North Texas,Conference USA,211,0.359,0.369,0.263,0.046,0.55,0.63,0.161,0.64,75.673,70.142,5.531,3.767,37.938,34.04,19.993,55.68
2020,4035225,Nick Starkel,QB,San José State,Mountain West,264,0.368,0.395,-0.517,0.067,0.405,0.811,0.123,0.75,97.027,101.164,-4.137,6.673,36.023,55.174,19.825,77.202
2020,3893630,Brady White,QB,Memphis,American Athletic,478,0.369,0.356,0.509,0.065,0.289,0.883,0.213,0.576,176.465,155.103,21.363,11.83,40.979,119.252,57.809,118.657
2020,4241556,Levi Lewis,QB,Louisiana,Sun Belt,347,0.378,0.322,0.71,0.171,0.409,0.708,0.261,0.572,131.228,95.739,35.489,24.783,44.12,60.888,56.324,74.904
2020,4039300,D'Eriq King,QB,Miami,ACC,456,0.378,0.36,0.441,0.101,0.435,0.655,0.223,0.573,172.444,127.069,45.375,18.336,68.801,72.703,56.646,115.798
2020,4361741,Brock Purdy,QB,Iowa State,Big 12,449,0.378,0.341,0.566,0.317,0.29,0.5,0.382,0.37,169.525,128.22,41.304,52.369,44.415,60.96,102.868,66.657
2020,4039034,Shane Buechele,QB,SMU,American Athletic,423,0.379,0.352,0.645,0.193,0.259,0.859,0.217,0.595,160.182,135.691,24.491,30.183,36.298,99.644,52.412,107.77
2020,4240069,Malik Cunningham,QB,Louisville,ACC,430,0.381,0.321,0.564,0.127,0.282,0.781,0.174,0.677,163.737,103.918,59.819,21.772,34.928,93.733,43.9,119.837
2020,4046678,Ian Book,QB,Notre Dame,FBS Independents,462,0.382,0.355,0.492,0.145,0.395,0.801,0.248,0.597,176.471,131.675,44.796,27.346,59.701,92.972,70.743,105.729
2020,4242546,Davis Mills,QB,Stanford,Pac-12,218,0.384,0.402,0.219,0.154,0.279,0.812,0.158,0.833,83.757,79.156,4.601,13.366,20.332,43.857,22.945,60.812
2020,4239086,Desmond Ridder,QB,Cincinnati,American Athletic,373,0.447,0.385,0.673,0.258,0.66,0.542,0.367,0.599,166.898,112.392,54.506,42.911,75.205,46.6,89.606,77.292
2020,4427238,Dillon Gabriel,QB,UCF,American Athletic,469,0.453,0.461,0.383,0.193,0.593,0.808,0.289,0.695,212.369,193.199,19.17,37.643,87.757,89.663,81.048,131.321
2020,4362887,Justin Fields,QB,Ohio State,Big Ten,301,0.458,0.395,0.708,0.25,0.599,0.637,0.329,0.672,137.745,95.266,42.479,29.809,62.272,45.881,61.759,75.986
2020,4426339,Spencer Rattler,QB,Oklahoma,Big 12,395,0.459,0.49,0.288,0.283,0.457,0.612,0.389,0.586,181.164,163.336,17.828,42.449,66.223,56.914,99.134,82.03
2020,4361222,Layne Hatcher,QB,Arkansas State,Sun Belt,236,0.465,0.529,0.041,0.324,0.534,0.638,0.497,0.417,109.812,108.546,1.266,29.495,41.111,35.094,71.055,38.757
2020,4362874,Matt Corral,QB,Ole Miss,SEC,390,0.471,0.426,0.629,0.211,0.533,0.818,0.304,0.752,183.519,129.425,54.094,34.654,63.929,72.843,74.467,109.052
2020,4360689,Tyler Shough,QB,Oregon,Pac-12,226,0.478,0.495,0.421,0.367,0.408,0.825,0.398,0.629,107.929,85.173,22.756,37.4,28.551,42.916,58.848,49.081
2020,4426875,Sam Howell,QB,North Carolina,ACC,440,0.481,0.502,0.348,0.42,0.35,0.742,0.352,0.702,211.569,190.332,21.237,79.753,50.371,72.011,97.865,113.704
2020,4242512,Malik Willis,QB,Liberty,FBS Independents,400,0.487,0.373,0.745,0.319,0.319,1.075,0.358,0.714,194.909,103.31,91.599,54.311,43.73,90.277,91.363,103.546
2020,4360310,Trevor Lawrence,QB,Clemson,ACC,397,0.497,0.49,0.545,0.363,0.509,0.814,0.426,0.623,197.395,168.514,28.881,62.354,68.195,72.474,108.309,89.086
2020,4034946,Kyle Trask,QB,Florida,SEC,486,0.532,0.563,0.244,0.297,0.726,0.928,0.394,0.848,258.74,247.26,11.48,72.713,91.5,101.109,133.168,125.572
2020,4427936,Grayson McCall,QB,Coastal Carolina,Sun Belt,357,0.549,0.652,0.283,0.411,0.562,0.687,0.461,0.724,195.968,167.637,28.33,61.216,72.543,52.235,109.812,86.156
2020,4361259,Zach Wilson,QB,BYU,FBS Independents,334,0.626,0.622,0.644,0.454,0.696,1.134,0.525,0.875,208.938,176.08,32.858,81.183,59.199,62.361,124.909,84.028
2020,4241464,Mac Jones,QB,Alabama,SEC,436,0.683,0.687,0.597,0.473,0.957,0.847,0.51,1.108,297.641,284.5,13.141,103.17,118.633,77.09,158.03,139.611
